date,y
2020-02-21,283
2020-02-22,191
2020-02-23,185
2020-02-24,286
2020-02-25,263
2020-02-26,243
2020-02-27,253
2020-02-28,357
2020-02-29,241
2020-03-01,197
2020-03-02,285
2020-03-03,281
2020-03-04,284
2020-03-05,282
2020-03-06,301
2020-03-07,226
2020-03-08,160
2020-03-09,287
2020-03-10,249
2020-03-11,300
2020-03-12,274
2020-03-13,241
2020-03-14,174
2020-03-15,145
2020-03-16,175
2020-03-17,156
2020-03-18,172
2020-03-19,181
2020-03-20,195
2020-03-21,104
2020-03-22,76
2020-03-23,167
2020-03-24,158
2020-03-25,165
2020-03-26,149
2020-03-27,214
2020-03-28,161
2020-03-29,98
2020-03-30,216
2020-03-31,196
2020-04-01,179
